"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"1",1,1,"steven adams","C",21,"OKC",70,67,25.3,3.1,5.7,"0.544",0,0,"0",3.1,5.7,"0.547","0.544",1.5,2.9,"0.502",2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7
"2",2,2,"alexis ajinca","C",26,"NOP",68,8,14.1,2.7,4.8,"0.55",0,0,"NA",2.7,4.8,"0.55","0.55",1.2,1.5,"0.818",1.5,3.1,4.6,0.7,0.3,0.8,1,2.2,6.5
"3",3,3,"cole aldrich","C",26,"NYK",61,16,16,2.4,4.9,"0.478",0,0,"NA",2.4,4.9,"0.478","0.478",0.8,1,"0.781",1.7,3.9,5.5,1.2,0.6,1.1,1,2,5.5
"4",4,4,"lavoy allen","C",25,"IND",63,0,17,2.2,4.7,"0.472",0,0,"NA",2.2,4.7,"0.472","0.472",0.5,0.7,"0.702",2,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5
"5",5,5,"chris andersen","C",36,"MIA",60,20,18.9,2,3.5,"0.58",0.1,0.2,"0.308",1.9,3.2,"0.598","0.589",1.3,1.9,"0.667",1.3,3.7,5,0.7,0.4,1,0.7,1.5,5.3
"6",6,6,"joel anthony","C",32,"DET",49,0,8.3,0.7,1.3,"0.581",0,0,"NA",0.7,1.3,"0.581","0.581",0.3,0.4,"0.682",0.7,1.2,1.9,0.1,0.2,1,0.2,1.1,1.8
"7",7,7,"pero antic","C",32,"ATL",63,3,16.5,1.7,4.7,"0.365",0.8,2.7,"0.301",0.9,2,"0.455","0.453",1.4,2,"0.715",0.9,2.1,3,0.8,0.3,0.2,0.8,2.1,5.7
"8",8,8,"omer asik","C",28,"NOP",76,76,26.1,2.8,5.4,"0.517",0,0,"NA",2.8,5.4,"0.517","0.517",1.7,3,"0.582",3.2,6.6,9.8,0.9,0.4,0.7,1.3,1.9,7.3
"9",9,9,"andrea bargnani","C",29,"NYK",29,22,27.1,5.7,12.4,"0.454",0.5,1.4,"0.366",5.1,11,"0.466","0.475",3,3.7,"0.813",1.1,3.3,4.4,1.6,0.1,0.9,1.4,1.8,14.8
"10",10,10,"earl barron","C",33,"PHO",16,1,8.9,0.8,2.4,"0.308",0.1,0.3,"0.5",0.6,2.2,"0.286","0.333",0.4,0.8,"0.5",0.9,0.9,1.8,0.3,0.3,0.1,0.3,1.6,2
"11",11,11,"aron baynes","C",28,"SAS",70,17,16,2.6,4.7,"0.566",0,0.1,"0.25",2.6,4.6,"0.57","0.567",1.3,1.5,"0.865",1.6,3,4.5,0.5,0.2,0.3,0.9,2.3,6.6
"12",12,12,"sim bhullar","C",22,"SAC",3,0,1,0.3,0.7,"0.5",0,0,"NA",0.3,0.7,"0.5","0.5",0,0,"NA",0,0.3,0.3,0.3,0,0.3,0,0,0.7
"13",13,13,"bismack biyombo","C",22,"CHO",64,21,19.4,1.6,2.9,"0.543",0,0,"NA",1.6,2.9,"0.543","0.543",1.6,2.7,"0.583",2.5,3.9,6.4,0.3,0.3,1.5,0.8,2.2,4.8
"14",14,14,"tarik black","C",23,"TOT",63,39,19,2.5,4.3,"0.575",0,0,"0",2.5,4.3,"0.577","0.575",1,1.9,"0.551",2.3,3.6,5.8,0.7,0.3,0.4,0.8,2.5,6
"15",15,15,"andrew bogut","C",30,"GSW",67,65,23.6,3,5.3,"0.563",0,0,"NA",3,5.3,"0.563","0.563",0.3,0.6,"0.524",2.1,6,8.1,2.7,0.6,1.7,1.6,2.8,6.3
"16",16,16,"chris bosh","C",30,"MIA",44,44,35.4,7.8,16.9,"0.46",1.4,3.8,"0.375",6.4,13.1,"0.485","0.503",4.1,5.3,"0.772",1,6,7,2.2,0.9,0.6,2.2,1.6,21.1
"17",17,17,"elton brand","C",35,"ATL",36,4,13.5,1.2,2.6,"0.442",0,0,"0",1.2,2.6,"0.447","0.442",0.3,0.6,"0.522",0.8,2,2.8,0.6,0.5,0.7,0.5,1.5,2.7
"18",18,18,"clint capela","C",20,"HOU",12,0,7.5,1.2,2.4,"0.483",0,0,"NA",1.2,2.4,"0.483","0.483",0.3,1.9,"0.174",0.8,2.2,3,0.2,0.1,0.8,0.4,1.2,2.7
"19",19,19,"tyson chandler","C",32,"DAL",75,75,30.5,3.9,5.9,"0.666",0,0,"NA",3.9,5.9,"0.666","0.666",2.5,3.4,"0.72",3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,10.3
"20",20,20,"demarcus cousins","C",24,"SAC",59,59,34.1,8.4,18.1,"0.467",0,0.1,"0.25",8.4,17.9,"0.469","0.468",7.2,9.2,"0.782",3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1,24.1
"21",21,21,"samuel dalembert","C",33,"NYK",32,21,17,1.8,4.1,"0.438",0,0,"NA",1.8,4.1,"0.438","0.438",0.4,0.6,"0.7",1.7,3.6,5.3,0.9,0.4,1.3,1.2,2.2,4
"22",22,22,"dewayne dedmon","C",25,"ORL",59,15,14.3,1.5,2.7,"0.562",0,0,"0",1.5,2.7,"0.565","0.562",0.6,1.1,"0.531",2,3,5,0.2,0.3,0.8,0.9,2.4,3.7
"23",23,23,"gorgui dieng","C",25,"MIN",73,49,30,3.5,7,"0.506",0,0.1,"0.167",3.5,6.9,"0.51","0.507",2.6,3.3,"0.783",3.1,5.3,8.3,2,1,1.7,1.7,2.6,9.7
"24",24,24,"andre drummond","C",21,"DET",82,82,30.5,6,11.7,"0.514",0,0,"0",6,11.7,"0.515","0.514",1.7,4.5,"0.389",5.3,8.1,13.5,0.7,0.9,1.9,1.5,3.5,13.8
"25",25,25,"tim duncan","C",38,"SAS",77,77,28.9,5.4,10.6,"0.512",0,0.1,"0.286",5.4,10.5,"0.514","0.513",3,4,"0.74",2.2,6.9,9.1,3,0.8,2,1.7,2.1,13.9
"26",26,26,"festus ezeli","C",25,"GSW",46,7,11,1.7,3,"0.547",0,0,"NA",1.7,3,"0.547","0.547",1.1,1.7,"0.628",1.3,2.1,3.4,0.2,0.2,0.9,0.7,1.7,4.4
"27",27,27,"joel freeland","C",27,"POR",48,8,12.9,1.5,3.1,"0.49",0,0,"NA",1.5,3.1,"0.49","0.49",0.4,0.5,"0.84",1.3,2.7,4,0.3,0.2,0.5,0.5,1.9,3.5
"28",28,28,"marc gasol","C",30,"MEM",81,81,33.2,6.5,13.2,"0.494",0,0.2,"0.176",6.5,13,"0.5","0.496",4.3,5.4,"0.795",1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4
"29",29,29,"rudy gobert","C",22,"UTA",82,37,26.3,3.1,5.2,"0.604",0,0,"0",3.1,5.2,"0.607","0.604",2.1,3.3,"0.623",3.2,6.2,9.5,1.3,0.8,2.3,1.4,2.1,8.4
"30",30,30,"marcin gortat","C",30,"WAS",82,82,29.9,5.4,9.5,"0.566",0,0,"0",5.4,9.4,"0.569","0.566",1.5,2.1,"0.703",2.2,6.5,8.7,1.2,0.6,1.3,1.2,2.3,12.2
"31",31,31,"justin hamilton","C",24,"TOT",41,14,17.4,2.1,4.3,"0.478",0.2,0.8,"0.323",1.8,3.6,"0.51","0.506",1,1.1,"0.83",1.4,1.9,3.3,0.9,0.7,0.7,0.6,1.7,5.3
"32",32,32,"chuck hayes","C",31,"TOR",29,0,8.8,0.8,1.6,"0.478",0,0,"NA",0.8,1.6,"0.478","0.478",0.2,0.4,"0.545",0.6,1.1,1.8,0.7,0.3,0.1,0.3,1.3,1.7
"33",33,33,"brendan haywood","C",35,"CLE",22,1,5.4,0.6,1.4,"0.467",0,0,"NA",0.6,1.4,"0.467","0.467",0.3,0.6,"0.538",0.3,1,1.3,0.1,0.1,0.5,0.5,0.8,1.6
"34",34,34,"john henson","C",24,"MIL",67,11,18.3,2.9,5.2,"0.566",0,0,"NA",2.9,5.2,"0.566","0.566",1.2,2,"0.569",1.9,2.8,4.7,0.9,0.4,2,1.3,2.3,7
"35",35,35,"roy hibbert","C",28,"IND",76,76,25.3,4.2,9.3,"0.446",0,0,"0",4.2,9.3,"0.448","0.446",2.2,2.7,"0.824",2.1,5.1,7.1,1.1,0.2,1.6,1.4,2.8,10.6
"36",36,36,"j.j. hickson","C",26,"DEN",73,8,19.3,3,6.3,"0.475",0,0,"0",3,6.3,"0.477","0.475",1.6,2.8,"0.577",2.1,4.1,6.2,0.8,0.5,0.5,1.3,1.9,7.6
"37",37,37,"jordan hill","C",27,"LAL",70,57,26.8,5.1,11.1,"0.459",0,0.2,"0.273",5.1,10.9,"0.462","0.461",1.8,2.4,"0.738",2.5,5.5,7.9,1.5,0.5,0.7,1.5,2.3,12
"38",38,38,"ryan hollins","C",30,"SAC",46,9,9.6,1.2,1.8,"0.646",0,0,"NA",1.2,1.8,"0.646","0.646",0.7,1.2,"0.574",0.8,1.5,2.2,0.3,0.1,0.4,0.5,1.4,3
"39",39,39,"al horford","C",28,"ATL",76,76,30.5,6.8,12.7,"0.538",0.1,0.5,"0.306",6.7,12.2,"0.547","0.544",1.4,1.9,"0.759",1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,15.2
"40",40,40,"dwight howard","C",29,"HOU",41,41,29.8,6.1,10.3,"0.593",0,0,"0.5",6.1,10.3,"0.594","0.595",3.5,6.6,"0.528",2.7,7.8,10.5,1.2,0.7,1.3,2.8,3.3,15.8
"41",41,41,"bernard james","C",29,"DAL",16,2,9.9,0.8,1.7,"0.444",0,0,"NA",0.8,1.7,"0.444","0.444",1.3,1.4,"0.87",1.1,1.3,2.4,0.3,0.1,0.9,0.4,1.1,2.8
"42",42,42,"al jefferson","C",30,"CHO",65,61,30.6,7.5,15.5,"0.481",0,0.1,"0.4",7.4,15.5,"0.482","0.482",1.7,2.5,"0.655",1.5,6.9,8.4,1.7,0.7,1.3,1,2.1,16.6
"43",43,43,"deandre jordan","C",26,"LAC",82,82,34.4,4.6,6.5,"0.71",0,0,"0.25",4.6,6.5,"0.713","0.711",2.3,5.7,"0.397",4.8,10.1,15,0.7,1,2.2,1.3,3,11.5
"44",44,44,"jerome jordan","C",28,"BRK",44,0,8.7,1.1,2.1,"0.532",0,0,"NA",1.1,2.1,"0.532","0.532",0.9,1,"0.864",1.2,1.2,2.4,0.3,0.2,0.3,0.5,1.3,3.1
"45",45,45,"chris kaman","C",32,"POR",74,13,18.9,3.8,7.4,"0.515",0,0,"NA",3.8,7.4,"0.515","0.515",1,1.4,"0.706",2,4.5,6.5,0.9,0.2,0.7,1.5,1.9,8.6
"46",46,46,"enes kanter","C",22,"TOT",75,74,28.5,6.4,12.4,"0.519",0.2,0.6,"0.356",6.2,11.8,"0.528","0.528",2.4,3.1,"0.782",3.7,5.3,8.9,0.7,0.5,0.4,1.9,2.5,15.5
"47",47,47,"alex kirk","C",23,"CLE",5,0,2.8,0.2,0.8,"0.25",0,0,"NA",0.2,0.8,"0.25","0.25",0.4,0.4,"1",0.2,0,0.2,0.2,0,0,0,0.2,0.8
"48",48,48,"kosta koufos","C",25,"MEM",81,3,16.6,2.2,4.4,"0.508",0,0,"NA",2.2,4.4,"0.508","0.508",0.7,1,"0.647",1.5,3.8,5.3,0.5,0.4,0.8,0.9,1.8,5.2
"49",49,49,"ognjen kuzmic","C",24,"GSW",16,0,4.5,0.5,0.8,"0.667",0,0,"NA",0.5,0.8,"0.667","0.667",0.3,0.3,"1",0.4,0.6,1.1,0.4,0.1,0.1,0.3,0.8,1.3
"50",50,50,"joffrey lauvergne","C",23,"DEN",24,1,11.2,1.5,3.7,"0.404",0.1,0.7,"0.188",1.4,3,"0.452","0.421",0.8,1.2,"0.643",1.1,2.1,3.2,0.5,0.3,0.4,0.9,1.8,3.9
"51",51,51,"alex len","C",21,"PHO",69,44,22,2.6,5.1,"0.507",0,0,"0.333",2.6,5.1,"0.509","0.508",1.1,1.5,"0.702",2.1,4.5,6.6,0.5,0.5,1.5,1.1,3.1,6.3
"52",52,52,"meyers leonard","C",22,"POR",55,7,15.4,2.3,4.5,"0.51",0.9,2,"0.42",1.4,2.4,"0.586","0.606",0.5,0.6,"0.938",0.8,3.7,4.5,0.6,0.2,0.3,0.7,2.1,5.9
"53",53,53,"brook lopez","C",26,"BRK",72,44,29.2,7,13.7,"0.513",0,0.1,"0.1",7,13.6,"0.517","0.513",3.1,3.8,"0.814",3,4.5,7.4,0.7,0.6,1.8,1.4,2.9,17.2
"54",54,54,"robin lopez","C",26,"POR",59,59,27.8,4,7.4,"0.535",0,0,"0",4,7.4,"0.537","0.535",1.7,2.2,"0.772",3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6
"55",55,55,"ian mahinmi","C",28,"IND",61,6,18.8,1.9,3.5,"0.552",0,0,"NA",1.9,3.5,"0.552","0.552",0.5,1.7,"0.304",1.7,4.1,5.8,0.5,0.5,0.8,1,2.8,4.3
"56",56,56,"javale mcgee","C",27,"TOT",23,0,11.1,1.8,3.4,"0.532",0,0,"NA",1.8,3.4,"0.532","0.532",1,1.4,"0.667",0.8,1.9,2.7,0.1,0.1,0.9,0.8,1.3,4.6
"57",57,57,"nazr mohammed","C",37,"CHI",23,0,5.6,0.6,1.3,"0.433",0,0,"NA",0.6,1.3,"0.433","0.433",0,0.1,"0.333",0.5,1.2,1.7,0.1,0.2,0.2,0.3,0.7,1.2
"58",58,58,"timofey mozgov","C",28,"TOT",81,80,25.2,3.9,7,"0.555",0,0.1,"0.333",3.9,6.9,"0.557","0.557",1.9,2.7,"0.718",2.5,4.8,7.3,0.7,0.4,1.2,1.4,2.8,9.7
"59",59,59,"joakim noah","C",29,"CHI",67,67,30.6,2.8,6.4,"0.445",0,0,"0",2.8,6.3,"0.447","0.445",1.6,2.6,"0.603",3.3,6.4,9.6,4.7,0.7,1.1,1.8,3,7.2
"60",60,60,"nerlens noel","C",20,"PHI",75,71,30.8,4,8.7,"0.462",0,0,"NA",4,8.7,"0.462","0.462",1.9,3.1,"0.609",2.5,5.7,8.1,1.7,1.8,1.9,1.9,2.8,9.9
"61",61,61,"lucas nogueira","C",22,"TOR",6,0,3.8,0.3,1.3,"0.25",0,0,"NA",0.3,1.3,"0.25","0.25",0.3,0.7,"0.5",0.3,1.5,1.8,0.2,0.3,0,0.3,1,1
"62",62,62,"jusuf nurkic","C",20,"DEN",62,27,17.8,2.8,6.2,"0.446",0,0,"0",2.8,6.1,"0.449","0.446",1.4,2.1,"0.636",2,4.1,6.2,0.8,0.8,1.1,1.4,3.3,6.9
"63",63,63,"kelly olynyk","C",23,"BOS",64,13,22.2,3.9,8.3,"0.475",1,2.7,"0.349",3,5.5,"0.538","0.533",1.5,2.1,"0.684",1.4,3.3,4.7,1.7,1,0.6,1.5,3.3,10.3
"64",64,64,"arinze onuaku","C",27,"MIN",6,1,11.3,2,2.3,"0.857",0,0,"NA",2,2.3,"0.857","0.857",0.5,1.3,"0.375",1.2,2.3,3.5,0.7,0.2,0.5,0.3,1,4.5
"65",65,65,"zaza pachulia","C",30,"MIL",73,45,23.7,3.3,7.2,"0.454",0,0,"0",3.3,7.2,"0.456","0.454",1.7,2.2,"0.788",2.7,4.2,6.8,2.4,1.1,0.3,1.8,2.3,8.3
"66",66,66,"nikola pekovic","C",29,"MIN",31,29,26.3,4.5,10.6,"0.424",0,0,"NA",4.5,10.6,"0.424","0.424",3.5,4.2,"0.837",2.9,4.7,7.5,0.9,0.6,0.4,1.4,1.9,12.5
"67",67,67,"kendrick perkins","C",30,"TOT",68,3,16.9,1.5,3.3,"0.449",0,0,"0",1.5,3.3,"0.451","0.449",0.6,1.2,"0.506",1.3,3.4,4.7,0.8,0.2,0.6,1.4,2.4,3.6
"68",68,68,"mason plumlee","C",24,"BRK",82,45,21.3,3.4,6,"0.573",0,0,"0",3.4,5.9,"0.576","0.573",1.9,3.9,"0.495",2.1,4.1,6.2,0.9,0.8,0.8,1.3,2.5,8.7
"69",69,69,"miles plumlee","C",26,"TOT",73,28,16.4,1.9,3.5,"0.535",0,0,"NA",1.9,3.5,"0.535","0.535",0.3,0.6,"0.478",1.5,2.8,4.4,0.5,0.6,0.9,0.7,1.5,4
"70",70,70,"miroslav raduljica","C",27,"MIN",5,0,4.6,0.6,1.6,"0.375",0,0,"NA",0.6,1.6,"0.375","0.375",0.4,0.4,"1",0.4,0.6,1,0,0.2,0,0.4,1.6,1.6
"71",71,71,"robert sacre","C",25,"LAL",67,18,16.9,1.9,4.6,"0.412",0,0,"0",1.9,4.6,"0.413","0.412",0.8,1.2,"0.671",1.3,2.1,3.5,0.8,0.4,0.6,0.5,1.8,4.6
"72",72,72,"larry sanders","C",26,"MIL",27,26,21.7,3.2,6.4,"0.5",0,0,"NA",3.2,6.4,"0.5","0.5",0.9,1.8,"0.5",2.5,3.7,6.1,0.9,1,1.4,1,3.9,7.3
"73",73,73,"kevin seraphin","C",25,"WAS",79,0,15.6,2.9,5.7,"0.513",0,0,"0",2.9,5.7,"0.516","0.513",0.7,1,"0.707",1.1,2.5,3.6,0.7,0.1,0.7,1.2,2.5,6.6
"74",74,74,"henry sims","C",24,"PHI",73,32,19.2,3.3,6.9,"0.474",0.1,0.3,"0.182",3.2,6.6,"0.488","0.478",1.5,1.9,"0.774",1.7,3.3,4.9,1.1,0.5,0.4,1.4,1.8,8
"75",75,75,"jason smith","C",28,"NYK",82,31,21.8,3.1,7.2,"0.434",0.2,0.5,"0.357",3,6.7,"0.44","0.447",1.5,1.9,"0.83",1.2,2.8,4,1.7,0.4,0.5,1.3,2.5,8
"76",76,76,"marreese speights","C",27,"GSW",76,9,15.9,4.2,8.5,"0.492",0.1,0.2,"0.278",4.1,8.3,"0.498","0.496",2,2.3,"0.843",1.4,2.8,4.3,0.9,0.3,0.4,1.1,2.5,10.4
"77",77,77,"tiago splitter","C",30,"SAS",52,35,19.8,3.3,5.8,"0.558",0,0,"NA",3.3,5.8,"0.558","0.558",1.7,2.3,"0.75",1.8,3.1,4.8,1.5,0.7,0.7,1.2,2,8.2
"78",78,78,"greg stiemsma","C",29,"TOR",17,0,3.9,0.4,0.5,"0.75",0,0,"NA",0.4,0.5,"0.75","0.75",0.1,0.2,"0.5",0.5,0.4,0.9,0.2,0.1,0,0.4,0.9,0.8
"79",79,79,"ronny turiaf","C",32,"MIN",2,0,9.5,0,0,"NA",0,0,"NA",0,0,"NA","NA",0,0,"NA",0,0.5,0.5,1,0,0,0,0,0
"80",80,80,"jonas valanciunas","C",22,"TOR",80,80,26.2,4.7,8.2,"0.572",0,0,"0",4.7,8.1,"0.573","0.572",2.7,3.5,"0.786",2.7,6,8.7,0.5,0.4,1.2,1.4,2.8,12
"81",81,81,"anderson varejao","C",32,"CLE",26,26,24.5,4.3,7.7,"0.555",0,0.1,"0",4.3,7.6,"0.561","0.555",1.3,1.7,"0.733",2.2,4.3,6.5,1.3,0.7,0.6,1.3,2.2,9.8
"82",82,82,"nikola vucevic","C",24,"ORL",74,74,34.2,8.5,16.3,"0.523",0,0.1,"0.333",8.5,16.2,"0.524","0.524",2.2,2.9,"0.752",3.2,7.7,10.9,2,0.7,0.7,2,3,19.3
"83",83,83,"hassan whiteside","C",25,"MIA",48,32,23.8,5.1,8.1,"0.628",0,0,"NA",5.1,8.1,"0.628","0.628",1.6,3.3,"0.5",3,7,10,0.1,0.6,2.6,1.2,2.7,11.8
"84",84,84,"jeff withey","C",24,"NOP",37,0,7,0.9,1.7,"0.5",0,0,"NA",0.9,1.7,"0.5","0.5",0.9,1.4,"0.68",0.6,1.1,1.7,0.3,0.1,0.5,0.3,0.7,2.6
"85",85,85,"cody zeller","C",22,"CHO",62,45,24,2.8,6,"0.461",0,0,"1",2.8,6,"0.46","0.462",2,2.6,"0.774",1.6,4.3,5.8,1.6,0.5,0.8,1,2.5,7.6
"86",86,86,"tyler zeller","C",25,"BOS",82,59,21.1,4.1,7.5,"0.549",0,0,"NA",4.1,7.5,"0.549","0.549",1.9,2.3,"0.823",1.8,3.9,5.7,1.4,0.2,0.6,0.9,2.5,10.2
"87",87,87,"quincy acy","PF",24,"NYK",68,22,18.9,2.2,4.9,"0.459",0.3,0.9,"0.3",2,4,"0.494","0.486",1.1,1.4,"0.784",1.2,3.3,4.4,1,0.4,0.3,0.9,2.2,5.9
"88",88,88,"jeff adrien","PF",28,"MIN",17,0,12.6,1.1,2.6,"0.432",0,0,"NA",1.1,2.6,"0.432","0.432",1.3,2.2,"0.579",1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5
"89",89,89,"furkan aldemir","PF",23,"PHI",41,9,13.2,1,1.9,"0.513",0,0.1,"0",1,1.8,"0.548","0.513",0.3,0.7,"0.481",1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
"90",90,90,"lamarcus aldridge","PF",29,"POR",71,71,35.4,9.3,19.9,"0.466",0.5,1.5,"0.352",8.8,18.5,"0.475","0.479",4.3,5.1,"0.845",2.5,7.7,10.2,1.7,0.7,1,1.7,1.8,23.4
"91",91,91,"lou amundson","PF",32,"TOT",53,35,17.7,2.1,4.8,"0.427",0,0,"0",2.1,4.8,"0.429","0.427",0.8,1.6,"0.471",1.8,3.3,5.1,1.3,0.4,1,1.2,2.4,4.9
"92",92,92,"ryan anderson","PF",26,"NOP",61,5,27.5,4.8,12,"0.399",2,5.9,"0.34",2.8,6.1,"0.457","0.483",2.1,2.5,"0.854",1.8,3.1,4.8,0.9,0.5,0.3,1,1.9,13.7
"93",93,93,"darrell arthur","PF",26,"DEN",58,4,17,2.7,6.6,"0.404",0.4,1.9,"0.236",2.2,4.7,"0.471","0.438",0.8,1,"0.78",0.9,2,2.9,1,0.8,0.4,0.8,2.5,6.6
"94",94,94,"jeff ayres","PF",27,"SAS",51,0,7.5,1.1,1.9,"0.579",0,0,"NA",1.1,1.9,"0.579","0.579",0.5,0.7,"0.75",0.7,1.6,2.3,0.3,0.2,0.2,0.5,1.2,2.7
"95",95,95,"cameron bairstow","PF",24,"CHI",18,1,3.6,0.2,0.8,"0.214",0,0,"NA",0.2,0.8,"0.214","0.214",0.2,0.3,"0.8",0.3,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.6
"96",96,96,"brandon bass","PF",29,"BOS",82,43,23.5,4.2,8.3,"0.504",0.1,0.4,"0.281",4.1,7.9,"0.515","0.51",2.1,2.6,"0.79",1.7,3.2,4.9,1.3,0.5,0.4,1,1.7,10.6
"97",97,97,"michael beasley","PF",26,"MIA",24,1,21,3.8,8.8,"0.434",0.3,1.4,"0.235",3.5,7.4,"0.472","0.453",0.8,1.1,"0.769",0.5,3.2,3.7,1.3,0.6,0.5,1.5,2.8,8.8
"98",98,98,"jerrelle benimon","PF",23,"UTA",2,0,1.5,0,0,"NA",0,0,"NA",0,0,"NA","NA",0,0,"NA",0.5,1,1.5,0,0,0,0.5,0,0
"99",99,99,"anthony bennett","PF",21,"MIN",57,3,15.7,2.2,5.2,"0.421",0.1,0.4,"0.304",2.1,4.8,"0.431","0.433",0.7,1.1,"0.641",0.9,2.9,3.8,0.8,0.5,0.3,0.6,1.5,5.2
"100",100,100,"dejuan blair","PF",25,"WAS",29,0,6.2,0.9,2,"0.456",0,0,"NA",0.9,2,"0.456","0.456",0.1,0.2,"0.667",0.6,1.4,1.9,0.1,0.2,0,0.4,1.4,1.9
"101",101,101,"matt bonner","PF",34,"SAS",72,19,13,1.3,3.2,"0.409",0.6,1.8,"0.365",0.7,1.4,"0.462","0.509",0.4,0.5,"0.811",0.4,1.2,1.6,0.7,0.1,0.2,0.2,0.9,3.7
